name,                            lon,    lat
Pasadena CA,                 -118.15,  34.15
Redding CA,                  -122.40,  40.60
Riverside CA,                -117.40,  33.95
Sacramento CA,               -121.50,  38.60
Santa Barbara CA,            -119.70,  34.45
Santa Cruz CA,               -122.05,  36.95
Santa Rosa CA,               -122.70,  38.45
San Bernardino CA,           -117.30,  34.10
San Diego CA,                -117.15,  32.70
San Francisco CA,            -122.40,  37.75
San Jose CA,                 -121.90,  37.35
San Luis Obispo CA,          -120.65,  35.30
San Mateo CA,                -122.30,  37.55
San Onofre CA,               -117.55,  33.40
Vallejo CA,                  -122.25,  38.10
Ventura CA,                  -119.30,  34.30
Denver CO,                   -105.00,  39.75
La Junta CO,                 -103.55,  38.00
Paradox CO,                  -108.95,  38.40
Rangely CO,                  -108.80,  40.10
Trinidad CO,                 -104.50,  37.20
Hartford CT,                  -72.70,  41.75
Washington DC,                -77.05,  38.90
Wilmington DE,                -75.55,  39.75
Jacksonville FL,              -81.65,  30.35
Miami FL,                     -80.20,  25.75
Atlanta GA,                   -84.40,  33.75
Lincolnton GA,                -82.50,  33.80
Savannah GA,                  -81.10,  32.10
Anderson Afb Atc GU,          144.90,  13.60
Central GU,                   144.80,  13.50
Dededo GU,                    144.90,  13.50
Northeast GU,                 144.90,  13.60
Santa Rita GU,                144.70,  13.40
Southwest GU,                 144.70,  13.30
Yigo GU,                      144.90,  13.50
Yona GU,                      144.80,  13.40
Barbers Point HI,            -158.10,  21.30
Barking Sands HI,            -159.76,  22.06
Bradshaw Airfield HI,        -155.56,  19.76
Diamond Head HI,             -157.80,  21.26
Haleakala Crater HI,         -156.26,  20.70
Hanapepe HI,                 -159.60,  21.90
Hana HI,                     -155.98,  20.76
Hawaiian Ocean View HI,      -155.78,  19.10
Hilo Atc HI,                 -155.10,  19.70
Hilo HI,                     -155.06,  19.70
Honolulu Atc HI,             -157.86,  21.30
Honolulu HI,                 -157.86,  21.30
Kaheawa Wind HI,             -156.56,  20.80
Kahuku HI,                   -157.94,  21.68
Kahului HI,                  -156.50,  20.90
Kailua Kona HI,              -156.00,  19.66
Kaneohe HI,                  -157.80,  21.40
Kaunakakai HI,               -157.00,  21.10
Kihei HI,                    -156.46,  20.78
Kilauea HI,                  -155.26,  19.40
Lahaina HI,                  -156.68,  20.88
Laie HI,                     -157.96,  21.66
Lanai City HI,               -156.96,  20.80
Lihue HI,                    -159.36,  21.96
Marine Corps Base HI,        -157.76,  21.46
Mauna Kea HI,                -155.46,  19.80
Ocean View HI,               -155.76,  19.10
Pearl Harbor HI,             -157.96,  21.36
Pepeekeo HI,                 -155.10,  19.84
Princeville HI,              -159.48,  22.22
Puuwai HI,                   -160.20,  21.90
Volcano HI,                  -155.22,  19.44
Wahiawa HI,                  -158.00,  21.50
Waianae HI,                  -158.20,  21.46
Waikoloa Village HI,         -155.78,  19.94
Waimea HI,                   -155.70,  20.00
Waipahu HI,                  -158.00,  21.40
Des Moines IA,                -93.60,  41.60
Boise ID,                    -116.20,  43.60
Idaho National Lab ID,       -112.85,  43.60
Central IL,                   -90.00,  40.00
Chicago IL,                   -87.65,  41.85
Evansville IN,                -87.60,  38.00
Indianapolis IN,              -86.15,  39.80
Topeka KS,                    -95.70,  39.05
Wichita KS,                   -97.35,  37.70
Louisville KY,                -85.75,  38.25
New Orleans LA,               -90.05,  29.95
Boston MA,                    -71.05,  42.35
Baltimore MD,                 -76.60,  39.30
Augusta ME,                   -69.80,  44.30
Bangor ME,                    -68.80,  44.80
Portland ME,                  -70.25,  43.65
Detroit MI,                   -83.05,  42.35
Minneapolis MN,               -93.30,  45.00
Cape Girardeau MO,            -89.50,  37.30
New Madrid MO,                -89.55,  36.60
St Louis MO,                  -90.20,  38.60
Saipan Central MP,            145.70,  15.20
Saipan MP,                    145.80,  15.20
Tinian MP,                    145.60,  15.00
Jackson MS,                   -90.20,  32.30
Billings MT,                 -108.50,  45.80
Bozeman MT,                  -111.05,  45.70
Lima MT,                     -112.60,  44.65
Missoula MT,                 -114.00,  46.90
Charlotte NC,                 -80.85,  35.25
Fargo ND,                     -96.80,  46.90
Omaha NE,                     -96.00,  41.25
Manchester NH,                -71.45,  43.00
Trenton NJ,                   -74.75,  40.20
Albuquerque NM,              -106.60,  35.10
Artesia NM,                  -104.40,  32.85
Las Cruces NM,               -106.75,  32.30
Los Alamos National Lab NM,  -106.30,  35.85
Carson City NV,              -119.75,  39.15
Elko NV,                     -115.75,  40.85
Las Vegas NV,                -115.15,  36.20
Reno NV,                     -119.80,  39.55
Batavia NY,                   -78.20,  43.00
Malone NY,                    -74.30,  44.85
New York NY,                  -74.00,  40.75
Columbus OH,                  -83.00,  39.95
Sidney OH,                    -84.15,  40.30
Youngstown OH,                -80.65,  41.10
Elgin OK,                     -98.30,  34.80
Oklahoma City OK,             -97.50,  35.50
Astoria OR,                  -123.85,  46.20
Bend OR,                     -121.30,  44.05
Brookings OR,                -124.25,  42.05
Coos Bay OR,                 -124.20,  43.40
Eugene OR,                   -123.10,  44.05
Klamath Falls OR,            -121.80,  42.20
Medford OR,                  -122.90,  42.35
Newport OR,                  -124.05,  44.65
Pendleton OR,                -118.80,  45.70
Portland OR,                 -122.65,  45.50
Salem OR,                    -123.05,  44.95
Philadelphia PA,              -75.15,  39.95
Pittsburg PA,                 -80.00,  40.45
Arecibo PR,                   -66.72,  18.47
Bayamon PR,                   -66.16,  18.40
Caguas PR,                    -66.04,  18.24
Culebra Barrio PR,            -65.30,  18.30
Fajardo PR,                   -65.65,  18.34
Isabel Ii PR,                 -65.44,  18.15
Mayaguez PR,                  -67.14,  18.20
Ponce PR,                     -66.62,  18.00
San Juan Atc PR,              -66.10,  18.45
San Juan PR,                  -66.12,  18.47
Utuado PR,                    -66.70,  18.27
Yabucoa PR,                   -65.88,  18.05
Providence RI,                -71.40,  41.80
Charleston SC,                -79.95,  32.80
Edgemont SD,                 -103.85,  43.30
Platte SD,                    -98.85,  43.40
Sioux Falls SD,               -96.75,  43.55
Chattanooga TN,               -85.25,  35.05
Knoxville TN,                 -83.90,  35.95
Maryville TN,                 -84.00,  35.75
Memphis TN,                   -90.05,  35.15
Amarillo TX,                 -101.85,  35.20
Dallas TX,                    -96.80,  32.80
Houston TX,                   -95.35,  29.75
Kermit TX,                   -103.10,  31.85
San Antonio TX,               -98.50,  29.40
Snyder TX,                   -100.90,  32.70
Brigham City UT,             -112.00,  41.50
Cedar City UT,               -113.05,  37.70
Green River UT,              -110.15,  39.00
Provo UT,                    -111.65,  40.25
Salt Lake City UT,           -111.90,  40.75
Blacksburg VA,                -80.40,  37.25
Richmond VA,                  -77.45,  37.55
Charlotte Amalie 1 VI,        -64.93,  18.34
Charlotte Amalie 2 VI,        -64.95,  18.35
Christiansted VI,             -64.70,  17.75
Cruz Bay VI,                  -64.79,  18.33
Burlington VT,                -73.20,  44.50
Aberdeen WA,                 -123.80,  47.00
Bellingham WA,               -122.50,  48.75
Ellensburg WA,               -120.55,  47.00
Everett WA,                  -122.20,  48.00
Hanford Site WA,             -119.60,  46.55
Olympia WA,                  -122.90,  47.05
Seattle WA,                  -122.30,  47.60
Spokane WA,                  -117.40,  47.65
Tacoma WA,                   -122.45,  47.25
Yakima WA,                   -120.50,  46.60
Milwaukee WI,                 -87.90,  43.05
Charleston WV,                -81.65,  38.35
Casper WY,                   -106.30,  42.85
Cheyenne WY,                 -104.80,  41.15
Jackson WY,                  -110.75,  43.50
Yellowstone WY,              -110.55,  44.40
